indice_tiempo,ipc_ng_nacional_tasa_variacion_mensual,ipc_ng_cuyo_tasa_variacion_mensual,ipc_ng_nea_tasa_variacion_mensual,ipc_ng_noa_tasa_variacion_mensual,ipc_ng_pampeana_tasa_variacion_mensual,ipc_ng_patagonia_tasa_variacion_mensual
2017-01-01,0.0158589999999998,0.017074,0.0167270000000001,0.0160139999999999,0.0178739999999999,0.0255929999999999
2017-02-01,0.0206721602112105,0.0153164863126968,0.0175956771089975,0.0207684146084601,0.0171317864490103,0.0168039368443428
2017-03-01,0.0237418974036005,0.0257453624260641,0.0244177313923896,0.0322384692150823,0.0220812663235816,0.0214225370075764
2017-04-01,0.0265583018363109,0.0332956332759963,0.0222600671774164,0.0271598710942972,0.0271590751228767,0.0200438053375668
2017-05-01,0.0143475024938812,0.0169802632420472,0.019251056556093,0.0152179013591893,0.0148061664605783,0.0169164403318125
2017-06-01,0.0119207347138923,0.0100683591907579,0.0136480819609337,0.009462897273281,0.0100208067959801,0.0110001203732112
2017-07-01,0.017322662871029,0.0141297058253238,0.0128086131625517,0.0141384867125022,0.0195007800312012,0.014980515661326
2017-08-01,0.0140325806871193,0.0135855265465925,0.0115264421062657,0.0127120015890001,0.0133141630047288,0.0169794096764377
2017-09-01,0.0189804466731784,0.0173950439310739,0.0129864694120815,0.0176224851713129,0.0191518848210756,0.012930212066232
2017-10-01,0.0151473268697708,0.0171690720264132,0.0149126023713483,0.0188133447559435,0.0168575391726992,0.0163766273240606
2017-11-01,0.0137508294736277,0.01564177517049,0.0152108604899297,0.0126014739082569,0.0161680863907707,0.0145770433469916
2017-12-01,0.0314197398218092,0.0334444470971975,0.0215520986499131,0.0231017398317778,0.0311046828228289,0.0251175712568167
2018-01-01,0.0175735362464701,0.0150140006930641,0.0199671725453218,0.0187824282255275,0.0187156468376887,0.0256563318313953
2018-02-01,0.0241903413453323,0.0263612689951355,0.0206563328875246,0.0204353960863148,0.0234452812522583,0.0203379443940352
2018-03-01,0.0234106255084169,0.0212008595046377,0.0242816988154923,0.0310439815531275,0.0194337421523629,0.031149554547516
2018-04-01,0.0273903237584651,0.0335398796664805,0.0264709784843728,0.0283118695965418,0.0286344325399903,0.0272302717698063
2018-05-01,0.0207537484131765,0.0180888044594949,0.0255380290908928,0.0230439970661324,0.0221474864505832,0.019874570997886
2018-06-01,0.0373667609193539,0.0364777439434449,0.0309784224238927,0.0340024825578906,0.0371292215487397,0.0327035076369319
2018-07-01,0.0310161299344708,0.0364105866779451,0.0341760567610445,0.0342351963925477,0.0330286770026124,0.0322096806643401
2018-08-01,0.0388943887536621,0.0339972825492893,0.0398540128029214,0.0397534197960598,0.0373735085183128,0.0364584523523077
2018-09-01,0.065342861600713,0.0683870422123726,0.0731143776955181,0.0597417395337915,0.063437761529526,0.0656402328508536
2018-10-01,0.0539160715161073,0.0594586588084879,0.048683404776485,0.0531585396567089,0.0578796134573826,0.0580231445111045
2018-11-01,0.0315336499618426,0.0366109266190943,0.0302382481751826,0.0327072825540848,0.0328329814204908,0.0418846963037435
2018-12-01,0.0256982344571439,0.0249487548828923,0.0246190662155674,0.0226559842892679,0.0230534687217043,0.0262483839377487
2019-01-01,0.0290624090934745,0.0292916943026022,0.0343078953686359,0.0321421961919898,0.0287087822750233,0.0303461282127279
2019-02-01,0.0376562218995719,0.037820097429283,0.0452175894256785,0.0421567836408116,0.0359626985590473,0.0299655540740475
2019-03-01,0.0467954018828959,0.0443804643967324,0.0514654486916421,0.0487984333331648,0.0451719439823548,0.0429152744436514
2019-04-01,0.0344469794923312,0.0334793288662393,0.0350938750085165,0.0362481207215656,0.0366682221230665,0.0354692276661823
2019-05-01,0.0305906969998361,0.0288240017964753,0.027752585481809,0.0387506448663055,0.0295185753129914,0.0342331339600066
2019-06-01,0.0271800540239952,0.0262527957172753,0.0291875304780142,0.0282389897075605,0.0281004915705365,0.027674416810419
2019-07-01,0.021978655386921,0.028020086868046,0.0186384959414278,0.0197745555934327,0.0221839075872292,0.0254351883173717
2019-08-01,0.0395398578704868,0.0437371200837084,0.0446185189500201,0.0414770104132826,0.0385824441939786,0.0422068218248092
2019-09-01,0.058856622721223,0.0582475408324993,0.0618869812902542,0.0582860084027405,0.0605345425928123,0.052613549540645
2019-10-01,0.0329348209098412,0.0372291552650443,0.0330153610133154,0.0285728912992131,0.0344942080988148,0.032422726528638
2019-11-01,0.0425453730948031,0.04515064893468,0.0429670840187657,0.0385833612365498,0.0449333648585723,0.0454706018119799
2019-12-01,0.0374370735513833,0.0326788300070144,0.0398687071340293,0.0368907632586732,0.0362574663424768,0.0415467975207362
2020-01-01,0.0225289492605598,0.0251355825946133,0.0309341767458584,0.0243375427789904,0.0250700512062098,0.0252095147638069
2020-02-01,0.0201362937364295,0.0229479282318088,0.0222255447146939,0.0182904256246443,0.022504107653098,0.0177959191458723
2020-03-01,0.0334346864367225,0.0312501846665986,0.0347579106939088,0.0378771475941541,0.0303989136152351,0.0259861950430393
2020-04-01,0.0149657259087256,0.012942427764508,0.0214173481872625,0.0259155807863877,0.0146784385019493,0.006154239569138
2020-05-01,0.0154273625123861,0.0134621924061102,0.0164715517170725,0.0167440432241023,0.0156135040879523,0.0159301227144617
2020-06-01,0.0224353915912769,0.0232836513310192,0.0230638432213152,0.0221023272543483,0.0252674505522139,0.0192206931894256
2020-07-01,0.0193419464565129,0.0226559734674185,0.022019483822389,0.0189383574318799,0.0213214077496983,0.02730474371943
