indice_tiempo,Préstamos/PIB,Depósitos/PIB
2005-01-01,8.27954596802587,14.943413696059746
2005-02-01,8.295044787068973,15.28406098873734
2005-03-01,8.402624445034286,15.57907874593699
2005-04-01,7.311539554332498,13.338293081844608
2005-05-01,7.426090946072452,13.507496423212363
2005-06-01,7.587588731048138,13.647538985984346
2005-07-01,7.912195093608358,14.081301921841103
2005-08-01,8.077932061292213,14.201471144029506
2005-09-01,8.321287093796803,14.210392233018945
2005-10-01,8.135505473602418,13.653368273580963
2005-11-01,8.39918405102829,13.817311369821331
2005-12-01,8.687437662741193,14.109309979404214
2006-01-01,8.608824840810179,13.787922377857436
2006-02-01,8.833175431490517,13.965217779379024
2006-03-01,8.842579181914651,14.079828896543214
2006-04-01,7.945538342012832,12.695953425453798
2006-05-01,8.218451186702042,12.910915952449823
2006-06-01,8.465376694860852,13.106738587008604
2006-07-01,8.64634998000016,13.329041006168593
2006-08-01,8.88149219587831,13.518731546592267
2006-09-01,9.147191405228863,13.662476874141788
2006-10-01,9.058021464042875,13.263212439153904
2006-11-01,9.33702995923121,13.478846891644286
2006-12-01,9.541355132992855,13.859482375791341
2007-01-01,9.577381922143836,13.94886835167403
2007-02-01,9.716487550733731,14.2728111641684
2007-03-01,9.90406024012869,14.468531697487668
2007-04-01,8.655569017342351,12.807263843516086
2007-05-01,8.931916662337532,12.987916101210898
2007-06-01,9.13932244495184,13.205916631143284
2007-07-01,9.326829774332845,13.346293342717134
2007-08-01,9.691363253984058,13.433461029616641
2007-09-01,9.947355360292368,13.435672942363496
2007-10-01,9.422891461372455,12.411735032711109
2007-11-01,9.719066069021157,12.497723569105027
2007-12-01,10.061251516582152,13.039370929139432
2008-01-01,9.869405206585268,12.867815155251513
2008-02-01,9.993171322072639,13.173665512579324
2008-03-01,10.207099088449331,13.362974008165803
2008-04-01,9.00074867247588,11.509413952105595
2008-05-01,9.192487926751019,11.362386847339874
2008-06-01,9.292764360960481,11.221434620508576
2008-07-01,9.57141943894714,11.806264371763781
2008-08-01,9.770873643424244,11.95247445217463
2008-09-01,9.929965668285314,12.123173424309972
2008-10-01,10.17441569400026,12.126877032640687
2008-11-01,10.23243648301013,11.853716023315341
2008-12-01,10.276610547200878,11.59068002992898
2009-01-01,10.725033522835064,12.313603070168242
2009-02-01,10.791727490805764,12.529102277900053
2009-03-01,10.88137248649849,12.33857875850339
2009-04-01,9.73487596419401,10.942521746185133
2009-05-01,9.814578250461938,10.998701593051662
2009-06-01,9.94404454414446,11.074036972298128
2009-07-01,9.763446063210903,10.947000661819676
2009-08-01,9.811401669865734,11.03641481582917
2009-09-01,9.914058465299478,11.20476282128837
2009-10-01,9.402489546160856,10.690630580002788
2009-11-01,9.528761025227588,11.047245078967714
2009-12-01,9.801012421489055,11.455838328333217
2010-01-01,9.308773651591942,11.205568307803212
2010-02-01,9.416981946864645,11.189197722881191
2010-03-01,9.605950828496756,11.280269459235006
2010-04-01,8.334674410672624,9.727933178039972
2010-05-01,8.605373091287461,9.870319390839716
2010-06-01,8.811008282157744,10.062089540283123
2010-07-01,8.81243253141772,10.241858846374404
2010-08-01,9.030705393926093,10.49668073924551
2010-09-01,9.373833981777327,10.797799089700428
2010-10-01,9.070048683805478,10.40793155285813
2010-11-01,9.371937087436063,10.691834263794963
2010-12-01,9.810954119667462,11.154902801801935
2011-01-01,9.680891330967498,11.05087883748512
2011-02-01,9.867005661046074,11.268408006100938
2011-03-01,10.03085797527057,11.450758320935128
2011-04-01,8.7461774758531,9.997546691845022
2011-05-01,9.105499828632427,10.236974941940952
2011-06-01,9.488890406490592,10.451576095099588
2011-07-01,9.818843170329822,10.763016813189747
2011-08-01,10.166934098282901,10.890023000272087
2011-09-01,10.660744046857054,10.919479703516064
2011-10-01,10.630142038831403,10.554107267183525
2011-11-01,10.863084743244098,10.759044658613837
2011-12-01,11.218351471084008,11.203006858376208
2012-01-01,11.288291869519972,11.534918435244661
2012-02-01,11.497518358285614,11.835549251111042
2012-03-01,11.699490203009944,12.178800822189901
2012-04-01,10.500069259198447,11.111574456277848
2012-05-01,10.775500377634392,11.3591252800848
2012-06-01,11.288526254535864,11.697691342995927
2012-07-01,11.431206104675526,11.919294258000354
2012-08-01,11.880436370784366,12.161327456956478
2012-09-01,12.212305735264936,12.476976582779157
2012-10-01,11.963464876784776,12.054547824687024
2012-11-01,12.384791014724573,12.415142816243081
2012-12-01,13.059088923158441,13.06906109505327
2013-01-01,13.015809011656184,13.274532729189659
2013-02-01,13.152342972676207,13.455716406288687
2013-03-01,13.498117087746383,13.669274008426338
2013-04-01,11.733456037512864,11.859449767509576
2013-05-01,12.005246413039327,12.042420967511125
2013-06-01,12.396490356225083,12.413756579611949
2013-07-01,12.447572795160477,12.602581539353844
2013-08-01,12.82803413399436,12.779704215961306
2013-09-01,13.265480122201426,13.090115146966294
2013-10-01,12.679389641132326,12.485953680194049
2013-11-01,13.0247739199069,12.716290886924963
2013-12-01,13.577378912405905,13.16446959187175
2014-01-01,12.975362724265397,12.448457122925923
2014-02-01,12.994733985623746,12.573800628870243
2014-03-01,13.04494200757016,12.843399399816915
2014-04-01,10.865387168866098,11.040477047617982
2014-05-01,10.94609639717947,11.314409079343763
2014-06-01,11.140383528487243,11.615567356632383
2014-07-01,11.263346958327721,11.983533560598007
2014-08-01,11.502824570780263,12.10811205055758
2014-09-01,11.785963769794225,12.287332909279366
2014-10-01,11.29565082418206,11.732250992993343
2014-11-01,11.57986538446838,11.978773442483408
2014-12-01,12.001265214315621,12.467687456456801
