indice_tiempo,tipo_cambio_real_zona_euro
2007-01-01,184.9190371882468
2007-01-02,185.92573043107086
2007-01-03,184.20959811735668
2007-01-04,184.0108467754137
2007-01-05,182.96548379463403
2007-01-06,182.870261913993
2007-01-07,182.7750895902761
2007-01-08,183.10150350487015
2007-01-09,182.8814673253977
2007-01-10,181.7122930359842
2007-01-11,181.2218674752501
2007-01-12,181.4109540526136
2007-01-13,181.31654120569027
2007-01-14,181.2221774946404
2007-01-15,181.01028558772373
2007-01-16,180.84879930975052
2007-01-17,181.11567694640053
2007-01-18,181.2817732119779
2007-01-19,181.5766908459876
2007-01-20,181.4821917436197
2007-01-21,181.3877418220156
2007-01-22,181.75450727385143
2007-01-23,182.64731052573072
2007-01-24,181.5794074867524
2007-01-25,181.95259326649185
2007-01-26,181.40040507826413
2007-01-27,181.3059977214101
2007-01-28,181.21163949757218
2007-01-29,181.78127722700438
2007-01-30,181.6843248558561
2007-01-31,182.27648141083785
2007-02-01,182.2696030345031
2007-02-02,181.11613209278568
2007-02-03,181.092133705982
2007-02-04,181.0681384990308
2007-02-05,180.8721765661477
2007-02-06,181.22333917264504
2007-02-07,181.96818662947155
2007-02-08,182.34393232834083
2007-02-09,181.9866463054567
2007-02-10,181.9625325731201
2007-02-11,181.93842203591944
2007-02-12,181.21004941798358
2007-02-13,181.96324846034042
2007-02-14,183.12726492833923
2007-02-15,183.3328599697433
2007-02-16,183.5203926547605
2007-02-17,183.49607569680438
2007-02-18,183.4717619609121
2007-02-19,183.3292528565176
2007-02-20,183.4059588172256
2007-02-21,183.2762645930168
2007-02-22,183.17583583417462
2007-02-23,183.89140950569458
2007-02-24,183.86704338698289
2007-02-25,183.84268049684897
2007-02-26,183.549867267544
2007-02-27,184.5222706991671
2007-02-28,184.24328011794805
2007-03-01,183.29133459675282
2007-03-02,183.6974689941427
2007-03-03,183.67533333502968
2007-03-04,183.65320034327732
2007-03-05,182.37027072160342
2007-03-06,182.65788828537143
2007-03-07,183.2801351233478
2007-03-08,182.99648087169825
2007-03-09,182.7126229713071
2007-03-10,182.6906059867516
2007-03-11,182.66859165525642
2007-03-12,183.58415721546257
2007-03-13,183.74986009890662
2007-03-14,183.81403717569958
2007-03-15,183.87528028492767
2007-03-16,185.11606485736684
2007-03-17,185.09375825657108
2007-03-18,185.0714543437347
2007-03-19,184.75318179621587
2007-03-20,185.0047524326072
2007-03-21,184.8615172374024
2007-03-22,185.0852197226524
2007-03-23,184.82499008354068
2007-03-24,184.8027185574361
2007-03-25,184.78044971506424
2007-03-26,185.39182824110333
2007-03-27,185.7115364713892
2007-03-28,185.34715127215745
2007-03-29,185.2470729362756
2007-03-30,185.49400036103765
2007-03-31,185.4716482187791
2007-04-01,185.37231858196841
2007-04-02,185.27304214130314
2007-04-03,185.0256361853565
2007-04-04,185.15774743179557
2007-04-05,185.05858590505176
2007-04-06,184.95947748442157
2007-04-07,184.86042214146408
2007-04-08,184.7614198477533
2007-04-09,184.49756432725303
2007-04-10,185.01928407459485
2007-04-11,184.589580128464
2007-04-12,184.99719216809044
2007-04-13,185.96715709660043
2007-04-14,185.8675620892205
2007-04-15,185.7680204201056
2007-04-16,185.63901241612731
2007-04-17,185.5590701150993
2007-04-18,185.73049580424137
2007-04-19,186.08525462251995
2007-04-20,186.02661393213646
2007-04-21,185.92698708255355
2007-04-22,185.8274135882887
2007-04-23,185.0999526351167
2007-04-24,185.62767514102504
2007-04-25,185.91326397911078
2007-04-26,185.52511198741402
2007-04-27,185.87309582782382
2007-04-28,185.7735511951064
2007-04-29,185.6740598736756
2007-04-30,185.92859000809398
2007-05-01,185.81918230373068
2007-05-02,184.6490958111378
2007-05-03,183.92448654819592
2007-05-04,184.2445132581121
2007-05-05,184.13609653082855
2007-05-06,184.027743600217
2007-05-07,183.8891349998798
2007-05-08,182.83548277313983
2007-05-09,182.85748861864067
2007-05-10,181.8969668130777
2007-05-11,182.2971895041616
2007-05-12,182.189918658862
2007-05-13,182.08271093595212
2007-05-14,182.15328278647732
2007-05-15,182.61290877212159
2007-05-16,181.4635400163086
2007-05-17,180.98406958896388
2007-05-18,181.22846301987872
2007-05-19,181.12182105532972
2007-05-20,181.0152418431123
2007-05-21,180.1971268685794
2007-05-22,180.10613998439138
2007-05-23,180.3193750904544
2007-05-24,180.11096512078598
2007-05-25,180.0049807360086
2007-05-26,179.89905871661705
2007-05-27,179.79319902591294
2007-05-28,179.62911123227585
2007-05-29,179.72724175070996
2007-05-30,178.86988066318875
2007-05-31,178.9898491896795
2007-06-01,178.57225441795558
2007-06-02,178.42236179697392
2007-06-03,178.27259499507824
2007-06-04,178.57658837930614
2007-06-05,179.22084463439325
2007-06-06,178.78713045277283
2007-06-07,177.67611713291316
2007-06-08,176.5704526869979
2007-06-09,176.42224036797091
2007-06-10,176.2741524575931
2007-06-11,176.00303960116617
2007-06-12,175.50843667484662
2007-06-13,174.84812038948695
2007-06-14,174.85036015756356
2007-06-15,175.86866791104862
2007-06-16,175.72104466651012
2007-06-17,175.57354533615487
2007-06-18,175.4261698159697
2007-06-19,175.6708424525766
2007-06-20,175.74336789956828
2007-06-21,175.4525624575041
