indice_tiempo,depositos_totales_pesos_privado,prestamos_al_sector_privado_pesos
2019-03-01,2128056.8709677416,1723464.237
2019-04-01,2158682.6,1740060.075
2019-05-01,2205397.516129032,1749425.785
2019-06-01,2287214.733333333,1769959.8080000002
2019-07-01,2354408.9677419355,1782509.946
2019-08-01,2377442.8387096776,1846044.065
2019-09-01,2395351.733333333,1910615.051
2019-10-01,2395716.1612903224,2041784.156
2019-11-01,2419118.266666666,2082226.997
2019-12-01,2632552.290322581,2175054.895
2020-01-01,2841938.1935483874,2184314.945
2020-02-01,3038896.6896551726,2213461.919
2020-03-01,3239010.3548387093,
2020-04-01,3558837.733333333,
