indice_tiempo,emae_desestacionalizada
2006-01-01,113.84190762480272
2006-02-01,114.65762326808483
2006-03-01,114.43515614135788
2006-04-01,115.71208797117932
2006-05-01,115.05595897538132
2006-06-01,116.27014848777505
2006-07-01,118.08529006962262
2006-08-01,118.7819278386962
2006-09-01,119.88614262505644
2006-10-01,120.49736902511847
2006-11-01,120.80429691848109
2006-12-01,123.30550611243112
2007-01-01,122.11106007969649
2007-02-01,124.3940362852775
2007-03-01,126.51181387412971
2007-04-01,125.19961218373965
2007-05-01,127.28946299921144
2007-06-01,128.59541666968312
2007-07-01,127.66479020575626
2007-08-01,128.93284930929403
2007-09-01,129.62091513793493
2007-10-01,131.3017912990826
2007-11-01,132.76605791021785
2007-12-01,134.07359587336165
2008-01-01,135.27305297393508
2008-02-01,133.4219913421487
2008-03-01,132.96527170957697
2008-04-01,135.88995446086875
2008-05-01,134.9238807915365
2008-06-01,133.2598911297612
2008-07-01,135.4162550616225
2008-08-01,135.8734146649925
2008-09-01,135.92188157107907
2008-10-01,132.69072952592876
2008-11-01,130.31080784611757
2008-12-01,124.9332360120645
2009-01-01,124.30701535016
2009-02-01,126.0039716116587
2009-03-01,123.37338282061802
2009-04-01,121.75213895953937
2009-05-01,121.28697485356268
2009-06-01,122.56254301623346
2009-07-01,124.9169206979872
2009-08-01,126.75829073819266
2009-09-01,128.1982011001307
2009-10-01,129.3640460019654
2009-11-01,129.7328019472228
2009-12-01,127.87557395974376
2010-01-01,131.6761940510216
2010-02-01,132.9724447193186
2010-03-01,134.0108199124281
2010-04-01,136.90660653601842
2010-05-01,139.17077859666165
2010-06-01,140.61764257197282
2010-07-01,139.46025589818424
2010-08-01,139.84668837467277
2010-09-01,139.50382939894823
2010-10-01,140.14548855059022
2010-11-01,142.16948277263918
2010-12-01,142.15347743076669
2011-01-01,145.99635623080368
2011-02-01,144.15145950543808
2011-03-01,144.454659077678
2011-04-01,144.8871240338908
2011-05-01,147.02214896859093
2011-06-01,146.85161464339166
2011-07-01,147.06823554672908
2011-08-01,146.84168944212843
2011-09-01,148.35900723408344
2011-10-01,147.44218074348922
2011-11-01,147.36681924986058
2011-12-01,147.7759807162236
2012-01-01,147.6146749211961
2012-02-01,144.5770491285781
2012-03-01,145.6045155365427
2012-04-01,141.43507823230482
2012-05-01,140.33832697900377
2012-06-01,140.97097612351178
2012-07-01,144.66310992864922
2012-08-01,145.16097854328856
2012-09-01,146.2940304126145
2012-10-01,147.21845539971687
2012-11-01,147.08903230095365
2012-12-01,149.2043459859728
2013-01-01,146.21942658448486
2013-02-01,148.41347092184245
2013-03-01,148.761925040408
2013-04-01,148.4859070566823
2013-05-01,148.43819497133558
2013-06-01,148.8871627617895
2013-07-01,148.15245144586967
2013-08-01,150.2704548373908
2013-09-01,150.22844631875478
2013-10-01,148.9404923544653
2013-11-01,148.1362693105867
2013-12-01,147.09310863025416
2014-01-01,145.63348924080938
2014-02-01,146.74654642861057
2014-03-01,145.12415916047408
2014-04-01,144.97059910671683
2014-05-01,145.25700028385407
2014-06-01,144.6973875533922
2014-07-01,144.1399691462864
2014-08-01,143.69797733288334
2014-09-01,143.51337035145443
2014-10-01,143.96088553010657
2014-11-01,144.74411646944498
2014-12-01,144.76631831439585
2015-01-01,144.50862595609934
2015-02-01,147.8940964798389
2015-03-01,147.47243799688843
2015-04-01,149.81738045191568
2015-05-01,149.8142452787005
2015-06-01,150.60323034575845
2015-07-01,150.61668141396837
2015-08-01,150.19146247245882
2015-09-01,149.04351924824738
2015-10-01,149.41079605943486
2015-11-01,148.45462454323726
2015-12-01,146.8718426535883
2016-01-01,148.08853680440737
2016-02-01,146.70619723584508
2016-03-01,145.9600809116663
2016-04-01,145.14648926456528
2016-05-01,144.41002576177334
2016-06-01,144.320840989015
2016-07-01,144.4170242443549
2016-08-01,145.63675890860722
2016-09-01,145.0466093434173
2016-10-01,145.12013199673038
2016-11-01,145.70331286246744
2016-12-01,147.0153454425913
2017-01-01,147.38041978722117
2017-02-01,146.55158941664945
2017-03-01,147.89613355347743
2017-04-01,147.8254090156693
2017-05-01,148.6317651992187
2017-06-01,150.1472112353042
2017-07-01,150.280903280642
2017-08-01,150.25825677377873
2017-09-01,151.21841351040922
2017-10-01,151.57273621545232
2017-11-01,152.63057959583725
2017-12-01,152.43328674010354
2018-01-01,151.94914317096365
2018-02-01,151.91809766487637
