indice_tiempo,tipo_cambio_real_estados_unidos
2007-01-01,148.48791736642
2007-01-02,148.24882303520002
2007-01-03,148.25218176684922
2007-01-04,148.83691894569446
2007-01-05,149.08224314357074
2007-01-06,149.03688403909212
2007-01-07,148.99153873537418
2007-01-08,148.94620722821801
2007-01-09,149.14276880113442
2007-01-10,149.00066900355253
2007-01-11,148.90698829369057
2007-01-12,148.91001422657928
2007-01-13,148.86470752370982
2007-01-14,148.81941460565758
2007-01-15,148.67756024234836
2007-01-16,148.68059718606528
2007-01-17,148.5871020507521
2007-01-18,148.68662424877928
2007-01-19,148.83430100416538
2007-01-20,148.78901733746642
2007-01-21,148.74374744857573
2007-01-22,149.18033997663684
2007-01-23,149.2312914332886
2007-01-24,149.08957588450343
2007-01-25,149.14049634134173
2007-01-26,149.48012950528926
2007-01-27,149.43464934166457
2007-01-28,149.38918301563342
2007-01-29,149.43989519170634
2007-01-30,149.3463595645544
2007-01-31,149.30092010118068
2007-02-01,149.09427739356866
2007-02-02,148.8876732843995
2007-02-03,148.8732642886782
2007-02-04,148.85885668742534
2007-02-05,149.03656980994188
2007-02-06,148.97412122022237
2007-02-07,148.95970385827496
2007-02-08,149.08933555881225
2007-02-09,149.1229182888996
2007-02-10,149.10848652672502
2007-02-11,149.09405616122206
2007-02-12,148.98363258363227
2007-02-13,148.87322898270457
2007-02-14,148.66686932634516
2007-02-15,148.74844844043628
2007-02-16,148.97394655230462
2007-02-17,148.9595292072611
2007-02-18,148.94511325749417
2007-02-19,148.8347691062806
2007-02-20,148.86832538687474
2007-02-21,148.94982929340603
2007-02-22,148.83951253460657
2007-02-23,148.82510819976832
2007-02-24,148.81070525894742
2007-02-25,148.79630371200903
2007-02-26,148.73397124452725
2007-02-27,148.62372177269418
2007-02-28,148.5614152843853
2007-03-01,148.39286280620325
2007-03-02,147.7931991728012
2007-03-03,147.76852007881888
2007-03-04,147.7438451058495
2007-03-05,148.53318591035375
2007-03-06,148.55625829341034
2007-03-07,148.57931882938462
2007-03-08,148.60236752158983
2007-03-09,148.62540437333828
2007-03-10,148.60058631443422
2007-03-11,148.575772399748
2007-03-12,148.4074813382187
2007-03-13,148.28706144810351
2007-03-14,148.11886651082068
2007-03-15,148.0941330356159
2007-03-16,148.21278916857833
2007-03-17,148.188040009796
2007-03-18,148.16329498372627
2007-03-19,148.09078286939862
2007-03-20,148.01829084045875
2007-03-21,148.04132942733509
2007-03-22,147.96886160638633
2007-03-23,148.08737114007852
2007-03-24,148.06264292409548
2007-03-25,148.037918837328
2007-03-26,148.10862969719034
2007-03-27,148.179312814057
2007-03-28,148.05917029535644
2007-03-29,147.93906376862438
2007-03-30,147.8189932251905
2007-03-31,147.79430982401513
2007-04-01,147.69860676344695
2007-04-02,147.60296567465446
2007-04-03,147.554969545417
2007-04-04,147.41186925190482
2007-04-05,147.3164138377669
2007-04-06,147.22102023504308
2007-04-07,147.1256884037078
2007-04-08,147.0304183037615
2007-04-09,146.79301453081578
2007-04-10,146.5558565643512
2007-04-11,146.3189441855736
2007-04-12,145.94035786514138
2007-04-13,146.0822343367666
2007-04-14,145.98763991741916
2007-04-15,145.89310675195523
2007-04-16,145.65708272808843
2007-04-17,145.37414973014032
2007-04-18,145.374259698882
2007-04-19,145.4214009908296
2007-04-20,145.32723448899677
2007-04-21,145.23312896395282
2007-04-22,145.13908437621262
2007-04-23,144.8102478678481
2007-04-24,144.71647711348626
2007-04-25,144.76349633726898
2007-04-26,144.76351460948413
2007-04-27,144.76347215711291
2007-04-28,144.66973169200025
2007-04-29,144.57605192779977
2007-04-30,144.4824328252049
2007-05-01,144.40556842184884
2007-05-02,144.0952032517911
2007-05-03,143.97186137096085
2007-05-04,143.84860994332888
2007-05-05,143.77208273264523
2007-05-06,143.69559623430484
2007-05-07,143.47939776648656
2007-05-08,143.40306697603987
2007-05-09,143.28024212565109
2007-05-10,143.2970371085147
2007-05-11,143.17431816538593
2007-05-12,143.09814967675726
2007-05-13,143.02202170963218
2007-05-14,142.8531122072311
2007-05-15,142.6843419455536
2007-05-16,142.65479577300792
2007-05-17,142.48622969885398
2007-05-18,142.5493642743112
2007-05-19,142.47352826006727
2007-05-20,142.39773259045117
2007-05-21,142.18326186656896
2007-05-22,142.24626219926108
2007-05-23,142.40153380814562
2007-05-24,142.37194114150918
2007-05-25,142.29619951606384
2007-05-26,142.22049818503163
2007-05-27,142.14483712697609
2007-05-28,142.02314977821513
2007-05-29,141.85550963929632
2007-05-30,141.73402521385935
2007-05-31,141.52064378037326
2007-06-01,141.27010296806228
2007-06-02,141.1576309497638
2007-06-03,141.04524847592413
2007-06-04,140.84126194534002
2007-06-05,140.95818266884697
2007-06-06,140.80018519318472
2007-06-07,140.73382464892052
2007-06-08,140.57607865210198
2007-06-09,140.46415918040702
2007-06-10,140.35232881326152
2007-06-11,140.19499561123337
2007-06-12,140.03782396774994
2007-06-13,139.9263330268583
2007-06-14,139.72396472647296
2007-06-15,139.8399579149848
2007-06-16,139.72862450490715
2007-06-17,139.61737973278656
2007-06-18,139.50622352805416
2007-06-19,139.25924894094442
2007-06-20,139.3747089901977
2007-06-21,139.39943654868674
2007-06-22,139.2884538591517
2007-06-23,139.17755952834804
2007-06-24,139.0667534859291
2007-06-25,139.0462082999311
2007-06-26,139.11570852761466
2007-06-27,139.13999539851378
2007-06-28,138.98424054410782
2007-06-29,139.00841713897378
2007-06-30,138.89774575905966
2007-07-01,138.79288485536802
2007-07-02,138.59842442061378
2007-07-03,138.4937894896755
2007-07-04,138.43400522342847
2007-07-05,138.82161099217774
2007-07-06,138.80621575695972
2007-07-07,138.70142395387643
2007-07-08,138.59671126340302
2007-07-09,138.49207762581335
2007-07-10,138.29838448031128
2007-07-11,138.1049048586637
2007-07-12,137.95614052968216
2007-07-13,137.85199049120098
2007-07-14,137.7479190808292
2007-07-15,137.6439262392066
2007-07-16,137.58437965279407
2007-07-17,137.48051027532216
2007-07-18,137.50962165459129
2007-07-19,137.40580871569728
2007-07-20,138.00981680067915
2007-07-21,137.9056262392777
2007-07-22,137.8015143365784
2007-07-23,137.96228388133872
2007-07-24,139.35754583735928
2007-07-25,140.13368171760484
2007-07-26,138.1784628111489
2007-07-27,137.1941312596961
2007-07-28,137.0905565003905
2007-07-29,136.98705993488713
2007-07-30,137.14704812667594
2007-07-31,136.91190503100034
2007-08-01,137.2948953676874
2007-08-02,137.3705021032234
2007-08-03,137.3146092199064
2007-08-04,137.17131312965478
2007-08-05,137.0281665775303
2007-08-06,136.8851694074807
2007-08-07,136.7858699736372
2007-08-08,136.29510113857822
2007-08-09,136.58744563103272
2007-08-10,136.66196995863044
2007-08-11,136.5193549368756
2007-08-12,136.3768887425117
2007-08-13,136.06146503062203
2007-08-14,136.04917082916745
2007-08-15,136.1231266560611
2007-08-16,136.32620357915977
2007-08-17,136.01155421705843
2007-08-18,135.86961794342326
2007-08-19,135.72782978886428
2007-08-20,135.58618959881048
2007-08-21,135.61636350176536
2007-08-22,135.8178139110693
2007-08-23,136.10435027111603
2007-08-24,135.62005833689105
2007-08-25,135.47853061285812
2007-08-26,135.33715058155522
2007-08-27,135.19591808885613
2007-08-28,134.79920869124186
2007-08-29,134.7010971617645
2007-08-30,134.26292220522052
2007-08-31,134.03786911931758
2007-09-01,133.96812098135885
2007-09-02,133.89840913764132
2007-09-03,134.08316081941055
2007-09-04,134.14053654139911
2007-09-05,134.0283745574789
2007-09-06,133.95863136012406
2007-09-07,133.8042917588298
2007-09-08,133.7346651655217
2007-09-09,133.66507480320757
2007-09-10,133.46876968467274
2007-09-11,132.89257763592994
2007-09-12,132.40136182998805
2007-09-13,132.07935886259216
2007-09-14,132.26360455574877
2007-09-15,132.194779676645
2007-09-16,132.12599061135404
2007-09-17,131.97304401172678
2007-09-18,131.94644508840028
2007-09-19,131.66752092088458
2007-09-20,131.89322309824615
2007-09-21,132.11865472978204
2007-09-22,132.04990527697768
2007-09-23,131.98119159873733
2007-09-24,131.91251367644514
2007-09-25,131.92771497098107
2007-09-26,131.90096480114994
2007-09-27,131.91608487015134
2007-09-28,131.8474408268899
2007-09-29,131.77883250334136
2007-09-30,131.71025988091856
2007-10-01,131.6211929850542
2007-10-02,131.5321730548398
2007-10-03,131.61027118347081
2007-10-04,131.7300491028669
2007-10-05,131.72451068414856
2007-10-06,131.67723644869838
2007-10-07,131.62997917936426
2007-10-08,131.70781751917323
2007-10-09,131.82726095467888
2007-10-10,131.48830910717996
2007-10-11,131.44111964144275
2007-10-12,131.43558017448856
2007-10-13,131.38840963248822
2007-10-14,131.34125601938965
2007-10-15,131.29411932911742
2007-10-16,131.3717195425054
2007-10-17,131.3661303281011
2007-10-18,131.36052820481467
2007-10-19,131.3549131826318
2007-10-20,131.30777159097903
2007-10-21,131.2606469178381
2007-10-22,131.46244248781798
2007-10-23,131.58113830692582
2007-10-24,131.78264023230162
2007-10-25,131.73534513490299
2007-10-26,131.35667206424094
2007-10-27,131.3095298413481
2007-10-28,131.26240453719373
2007-10-29,130.63597916493015
2007-10-30,130.21681118645392
2007-10-31,129.9219775150475
2007-11-01,129.55971370549656
2007-11-02,129.486822610265
2007-11-03,129.5380511170379
2007-11-04,129.58929989120057
2007-11-05,129.80629673743584
2007-11-06,129.85765163685744
2007-11-07,129.61877368164141
2007-11-08,129.83597896560278
2007-11-09,129.84584805361334
2007-11-10,129.89721860061073
2007-11-11,129.94860947119292
2007-11-12,130.1246611534324
2007-11-13,130.30083179766484
2007-11-14,130.06132439758125
2007-11-15,129.9463955634748
2007-11-16,130.33070680116975
2007-11-17,130.38226917146721
2007-11-18,130.43385194124002
2007-11-19,130.40213107314452
2007-11-20,130.53707871149695
2007-11-21,130.8805876895293
2007-11-22,131.01579058797034
2007-11-23,131.15107998075177
2007-11-24,131.20296691297872
2007-11-25,131.2548743730865
2007-11-26,131.30680236919645
2007-11-27,131.65130937471034
2007-11-28,131.661583609946
2007-11-29,131.67184536853804
2007-11-30,131.5984072576022
2007-12-01,131.56933821031626
2007-12-02,131.5402755841529
2007-12-03,131.26032356966013
2007-12-04,131.1059090088197
2007-12-05,130.90975876485032
2007-12-06,130.96441836192238
2007-12-07,131.10260548968702
2007-12-08,131.07364596109005
2007-12-09,131.04469282942392
2007-12-10,131.01574609327554
2007-12-11,131.02854788180943
2007-12-12,130.99960471195237
2007-12-13,131.0958390102154
2007-12-14,131.06688097628023
2007-12-15,131.0379293389458
2007-12-16,131.008984096799
2007-12-17,130.8966715722665
2007-12-18,130.7427246434805
2007-12-19,130.50550249207222
2007-12-20,130.643311736019
2007-12-21,130.82270374733716
2007-12-22,130.79380604682123
2007-12-23,130.76491472957875
