indice_tiempo,tipo_cambio_real_multilateral_actual
2007-01-01,162.70271920998812
2007-01-02,162.77201611194815
2007-01-03,162.0954690607769
2007-01-04,162.3590251114201
2007-01-05,162.08423108631362
2007-01-06,162.03738927511975
2007-01-07,161.99056100105568
2007-01-08,162.01616350260997
2007-01-09,162.08902216631319
2007-01-10,161.7380550752826
2007-01-11,161.82347814739762
2007-01-12,161.99375445536742
2007-01-13,161.94693879162315
2007-01-14,161.90013665745215
2007-01-15,161.75905176961848
2007-01-16,161.66340108378608
2007-01-17,161.9450713088605
2007-01-18,162.09098173338526
2007-01-19,162.41224129611197
2007-01-20,162.36530469104324
2007-01-21,162.3183816504994
2007-01-22,162.60788653832682
2007-01-23,162.888583173053
2007-01-24,162.6725691095611
2007-01-25,162.62658576896706
2007-01-26,162.68289465756197
2007-01-27,162.6358798345594
2007-01-28,162.5888785986865
2007-01-29,162.6982854652291
2007-01-30,162.7822363042371
2007-01-31,163.08056056065675
2007-02-01,163.4465886370541
2007-02-02,162.98743150807456
2007-02-03,162.9791524604549
2007-02-04,162.97087383337464
2007-02-05,163.41857896827895
2007-02-06,163.71112427354348
2007-02-07,163.72858491672017
2007-02-08,163.80654197459668
2007-02-09,163.41517873694852
2007-02-10,163.40687796164332
2007-02-11,163.398577607981
2007-02-12,162.7742493876894
2007-02-13,163.23632084917162
2007-02-14,163.77340245385486
2007-02-15,163.94713888190782
2007-02-16,164.2455760784086
2007-02-17,164.2372331225556
2007-02-18,164.2288905904882
2007-02-19,164.10580032641442
2007-02-20,164.1558741630439
2007-02-21,164.50611013344863
2007-02-22,164.5069734570804
2007-02-23,164.25781584988462
2007-02-24,164.24947227230484
2007-02-25,164.24112911854226
2007-02-26,164.3180659085404
2007-02-27,163.71977076220261
2007-02-28,163.32685005385574
2007-03-01,162.9475086191495
2007-03-02,162.75219648097843
2007-03-03,162.7107444517
2007-03-04,162.6689955054411
2007-03-05,162.2838055612851
2007-03-06,162.9295891541955
2007-03-07,163.24976337975633
2007-03-08,163.3309657431589
2007-03-09,163.61600736289674
2007-03-10,163.57402614081155
2007-03-11,163.5320556904291
2007-03-12,163.7130889269379
2007-03-13,163.3206564187866
2007-03-14,163.08403844867328
2007-03-15,163.4765792502112
2007-03-16,163.81604636415025
2007-03-17,163.77401381529154
2007-03-18,163.73199205130533
2007-03-19,163.92367113879138
2007-03-20,164.0471724112326
2007-03-21,164.29707370680055
2007-03-22,164.55376256764916
2007-03-23,164.39416007106252
2007-03-24,164.35197918757382
2007-03-25,164.30980912701776
2007-03-26,164.61987695088462
2007-03-27,164.64456794791315
2007-03-28,164.2611678503988
2007-03-29,164.5878130689858
2007-03-30,164.44465062298775
2007-03-31,164.40245678443978
2007-04-01,164.30047514477982
2007-04-02,164.19855676606528
2007-04-03,164.70889858269368
2007-04-04,164.79394107403743
2007-04-05,164.6917165900154
2007-04-06,164.58955551757916
2007-04-07,164.4874578173934
2007-04-08,164.3854234501473
2007-04-09,164.3498381079566
2007-04-10,164.19575583120746
2007-04-11,163.75529165699018
2007-04-12,163.48589844781526
2007-04-13,164.23680236477412
2007-04-14,164.1349234833678
2007-04-15,164.03310779916401
2007-04-16,163.421562487348
2007-04-17,163.26946156141082
2007-04-18,163.27796819466033
2007-04-19,163.61556332807297
2007-04-20,163.63455576670566
2007-04-21,163.53305046910546
2007-04-22,163.4316081369675
2007-04-23,162.86035318458372
2007-04-24,162.82029766131356
2007-04-25,163.3929030292353
2007-04-26,163.1943226940723
2007-04-27,163.15011104785128
2007-04-28,163.04890625954837
2007-04-29,162.9477642502966
2007-04-30,162.9188018519281
2007-05-01,162.82940354456062
2007-05-02,162.45478225147068
2007-05-03,162.35618846345605
2007-05-04,162.21567726037983
2007-05-05,162.12671406857157
2007-05-06,162.03779966643424
2007-05-07,162.01962100392583
2007-05-08,161.80732227578477
2007-05-09,161.87404157630914
2007-05-10,161.44374219153696
2007-05-11,161.65122454132802
2007-05-12,161.56257090970757
2007-05-13,161.47396589798726
2007-05-14,161.4382880528161
2007-05-15,162.1736030519423
2007-05-16,162.51614959398873
2007-05-17,162.5132947630156
2007-05-18,162.54774298389646
2007-05-19,162.45859767882303
2007-05-20,162.36950126329597
2007-05-21,162.4517768103959
2007-05-22,162.58249363505044
2007-05-23,162.57738325654546
2007-05-24,161.9816478285376
2007-05-25,161.89281298440562
2007-05-26,161.8040268595554
2007-05-27,161.71528942726798
2007-05-28,161.57484701809784
2007-05-29,161.87958975381432
2007-05-30,161.59938475891812
2007-05-31,162.15522845889586
2007-06-01,162.46897542278813
2007-06-02,162.34300796504533
2007-06-03,162.21713817395158
2007-06-04,161.6585953058338
2007-06-05,161.27768913127622
2007-06-06,160.21078766259012
2007-06-07,159.7777131696127
2007-06-08,159.56344938647666
2007-06-09,159.43973467715705
2007-06-10,159.31611588785773
2007-06-11,159.8237328397621
2007-06-12,159.69582984639084
2007-06-13,159.10270818752755
2007-06-14,159.5017963317123
2007-06-15,160.57154164253612
2007-06-16,160.44704532664616
2007-06-17,160.3226455367814
2007-06-18,160.19834219810204
2007-06-19,160.31514538983558
2007-06-20,159.69992346068886
2007-06-21,159.9906895509123
2007-06-22,159.25638144171992
2007-06-23,159.1329048121214
2007-06-24,159.00952391795232
2007-06-25,159.15674405162227
2007-06-26,158.68435152170542
2007-06-27,158.63763279602617
2007-06-28,159.3819600480553
2007-06-29,159.44361584993797
2007-06-30,159.3199940514397
2007-07-01,159.21079055877718
2007-07-02,159.7016161583324
2007-07-03,159.7017065142077
2007-07-04,159.64979553404282
2007-07-05,159.99246844303346
2007-07-06,160.58120217768777
2007-07-07,160.47150489490056
2007-07-08,160.36188254923974
2007-07-09,160.25233508951388
2007-07-10,160.56654873427738
2007-07-11,160.76247887472263
2007-07-12,161.07749245679736
2007-07-13,161.28081489128513
2007-07-14,161.1706396844779
2007-07-15,161.06053974127963
2007-07-16,160.91672458088334
2007-07-17,161.06503729937066
2007-07-18,161.23583754439468
2007-07-19,161.34988920814942
2007-07-20,161.91957960824666
2007-07-21,161.80896804430148
2007-07-22,161.69843204205245
2007-07-23,162.26914549039984
2007-07-24,163.60165186554366
2007-07-25,163.63665264839474
2007-07-26,159.9660961252513
2007-07-27,159.18218270589657
2007-07-28,159.07344113045573
2007-07-29,158.9647738392724
2007-07-30,159.81010801306212
2007-07-31,159.67917567953597
2007-08-01,159.68267182412683
2007-08-02,160.37975949721184
2007-08-03,160.40129779428872
2007-08-04,160.26138372693975
2007-08-05,160.12159170315599
2007-08-06,159.0678878080827
2007-08-07,159.1521686507629
2007-08-08,159.158588754892
2007-08-09,158.2290618716514
2007-08-10,157.8359473674556
2007-08-11,157.69827099155503
2007-08-12,157.5607147073371
2007-08-13,156.94547200867476
2007-08-14,155.44900441698462
2007-08-15,155.04828821549816
2007-08-16,151.71240715095166
2007-08-17,154.49674189451878
2007-08-18,154.36197822459914
2007-08-19,154.22733210568097
2007-08-20,154.09280343522744
2007-08-21,153.81088481775691
2007-08-22,154.5551374529323
2007-08-23,155.50831419085952
2007-08-24,156.46660794385156
2007-08-25,156.3301260087129
2007-08-26,156.19376312337576
2007-08-27,156.02923374259757
2007-08-28,154.55370286611264
2007-08-29,155.1370494272645
2007-08-30,154.4748960285829
2007-08-31,154.49688763600932
2007-09-01,154.40092413222175
2007-09-02,154.30502023477445
2007-09-03,154.49788814830862
2007-09-04,154.9077232869122
