indice_tiempo,tipo_cambio_real_brasil
1997-01-01,120.29376659855222
1997-02-01,120.04762927622343
1997-03-01,119.82477122809016
1997-04-01,120.70659777256759
1997-05-01,120.88318608720378
1997-06-01,120.62946786704168
1997-07-01,120.1544481010795
1997-08-01,119.21532770307623
1997-09-01,118.56603238460347
1997-10-01,118.21836651830064
1997-11-01,117.82534711497108
1997-12-01,117.64676247140558
1998-01-01,117.24344895143265
1998-02-01,116.520603424144
1998-03-01,114.83009096741243
1998-04-01,115.84935552112766
1998-05-01,115.64653767675699
1998-06-01,114.93427455116884
1998-07-01,114.12515224876313
1998-08-01,112.60325958769856
1998-09-01,111.47293191571094
1998-10-01,110.68355489172531
1998-11-01,110.48245354419336
1998-12-01,109.67261688453031
1999-01-01,93.78674505371777
1999-02-01,68.84591023702313
1999-03-01,71.74842030790832
1999-04-01,80.72850094196181
1999-05-01,82.5078074079493
1999-06-01,79.42882963454862
1999-07-01,77.8643937825491
1999-08-01,74.87448199355335
1999-09-01,75.40982124747278
1999-10-01,73.30829974337166
1999-11-01,75.06449765294995
1999-12-01,77.43475211611434
2000-01-01,80.36887931105073
2000-02-01,82.31795944300767
2000-03-01,83.27881452344472
2000-04-01,83.26861087732287
2000-05-01,83.27515986370327
2000-06-01,82.88441842710999
2000-07-01,83.16026744653875
2000-08-01,85.12794269064186
2000-09-01,84.10339152095804
2000-10-01,82.86550553407372
2000-11-01,79.78382426634948
2000-12-01,79.54791469655949
2001-01-01,80.47788256665838
2001-02-01,79.43585737283895
2001-03-01,78.74539100820179
2001-04-01,73.02705862197908
2001-05-01,72.00057641921128
2001-06-01,68.77747776055
2001-07-01,67.90035125328544
2001-08-01,66.89283357609546
2001-09-01,62.988602432211216
2001-10-01,60.5598187528039
2001-11-01,65.74838288897931
2001-12-01,68.02347955605735
2002-01-01,114.60919142318531
2002-02-01,140.02134152233404
2002-03-01,171.19190642528386
2002-04-01,192.9803722510531
2002-05-01,191.4923180038741
2002-06-01,185.88256635298802
2002-07-01,166.4733773787086
2002-08-01,153.66965883512262
2002-09-01,144.8992403658859
2002-10-01,125.92335992003315
2002-11-01,130.80348792040644
2002-12-01,130.98548938730295
2003-01-01,130.54762648960542
2003-02-01,122.72565207071915
2003-03-01,124.71605946696779
2003-04-01,131.22995336995078
2003-05-01,137.42642018970912
2003-06-01,139.5465036258877
2003-07-01,138.97422690745742
2003-08-01,139.51289453117366
2003-09-01,143.65265945434288
2003-10-01,143.71506157992366
2003-11-01,142.6286559016508
2003-12-01,145.82890065567594
2004-01-01,146.87118408381426
2004-02-01,145.2308164424278
2004-03-01,145.07570583527962
2004-04-01,141.37893857434028
2004-05-01,136.42206605267322
2004-06-01,136.7504401837304
2004-07-01,140.89840979572702
2004-08-01,146.11155354728083
2004-09-01,150.70846115680612
2004-10-01,151.48822377362185
2004-11-01,154.52043816161537
2004-12-01,159.98899390126317
2005-01-01,159.693689091476
2005-02-01,162.52779617444278
2005-03-01,155.44588455690098
2005-04-01,161.33768529007773
2005-05-01,169.41675807282596
2005-06-01,170.7045004718208
2005-07-01,171.56823693951515
2005-08-01,172.01575821002862
2005-09-01,177.84412352782158
2005-10-01,183.68997851936928
2005-11-01,186.7246234543655
2005-12-01,182.71064230259591
2006-01-01,184.1281373187646
2006-02-01,194.57535099753846
2006-03-01,195.24131027197416
2006-04-01,194.67454097027928
2006-05-01,189.3385805481118
2006-06-01,183.13953502218664
2006-07-01,187.3717864474631
2006-08-01,188.8394439810641
2006-09-01,188.2902036587269
2006-10-01,188.6583884662991
2006-11-01,185.63684141082626
2006-12-01,184.60787028946208
2007-01-01,185.9838606454721
2007-02-01,189.7877606888719
2007-03-01,189.68538452551832
2007-04-01,191.7917108111129
2007-05-01,191.8525297023652
2007-06-01,193.14579021851398
2007-07-01,195.5742391205585
2007-08-01,186.06324487286216
2007-09-01,186.6690452185169
2007-10-01,195.37607130049432
2007-11-01,197.1225216650479
2007-12-01,195.8675325298423
2008-01-01,195.73110477295242
2008-02-01,197.69937679035718
2008-03-01,195.48737541458615
2008-04-01,192.76707022572117
2008-05-01,193.2070299148473
2008-06-01,190.2477907170189
2008-07-01,189.73152082710854
2008-08-01,186.7340581534608
2008-09-01,169.304179350366
2008-10-01,144.61101970943184
2008-11-01,144.16949360346374
2008-12-01,139.0385969589775
2009-01-01,145.73944227160368
2009-02-01,147.2599015455792
2009-03-01,152.39837816433385
2009-04-01,158.59446402959347
2009-05-01,169.60171131917107
2009-06-01,180.78912355193125
2009-07-01,183.33614139147065
2009-08-01,191.70562207440238
2009-09-01,191.90748222917088
2009-10-01,197.33966369948627
2009-11-01,195.43040652746674
2009-12-01,189.23644744274304
2010-01-01,182.05599177354347
2010-02-01,174.0004510951474
2010-03-01,174.90222129236932
2010-04-01,175.5046379010971
2010-05-01,170.02810162105527
2010-06-01,169.8691091812529
2010-07-01,171.3913966509073
2010-08-01,170.401876432869
2010-09-01,173.36207829520703
2010-10-01,173.9611823420341
2010-11-01,168.59779498440494
2010-12-01,168.86200774446397
2011-01-01,169.92294211102302
2011-02-01,172.0902598764498
2011-03-01,171.82247196182442
2011-04-01,177.81069274758926
2011-05-01,173.00696496188442
2011-06-01,173.67100212022822
2011-07-01,175.5043561887559
2011-08-01,170.19955616686892
2011-09-01,155.17638983604476
2011-10-01,151.44211878150438
2011-11-01,150.09846993131853
2011-12-01,145.50758110965802
2012-01-01,148.95206281067937
2012-02-01,155.0751427270286
2012-03-01,145.6724773173527
2012-04-01,139.20375506025763
2012-05-01,129.63076431833778
