indice_tiempo,tasas_interes_adelantos_cc,tasas_interes_badlar,tasas_interes_call,tasas_interes_plazo_fijo_30_59_dias
2015-01-01,25.62619047619048,20.232142857142858,22.88714285714284,19.912857142857145
2015-02-01,24.42333333333333,20.663194444444443,20.51055555555552,20.331111111111102
2015-03-01,23.861,20.903125,21.08699999999997,20.8395
2015-04-01,20.8945,20.815625,17.784999999999975,20.832000000000004
2015-05-01,24.35,20.25986842105263,22.320526315789447,21.11421052631579
2015-06-01,20.36863636363637,20.477272727272727,17.86818181818179,20.78227272727273
2015-07-01,26.094090909090905,20.744318181818183,23.69409090909088,20.68318181818182
2015-08-01,25.1415,20.978125,22.59699999999997,21.2495
2015-09-01,24.42727272727273,21.18465909090909,21.901818181818143,21.529090909090915
2015-10-01,27.765238095238093,21.601190476190474,24.8838095238095,21.86714285714285
2015-11-01,25.62684210526315,23.42763157894737,21.6352631578947,23.814736842105265
2015-12-01,30.393,27.34375,25.17249999999995,26.755000000000003
2016-01-01,29.047000000000004,26.3125,25.200499999999945,25.727
2016-02-01,27.55263157894737,26.223684210526315,24.40473684210525,25.031052631578948
2016-03-01,37.35863636363637,29.576704545454547,35.05227272727271,27.588181818181816
2016-04-01,38.746666666666655,30.696428571428573,36.93857142857139,28.45047619047619
2016-05-01,37.21,30.964285714285715,34.58999999999995,28.715238095238096
2016-06-01,34.273,28.946875,31.71299999999996,27.4395
2016-07-01,30.741499999999995,26.01875,29.07299999999998,24.9525
2016-08-01,30.03818181818182,24.84375,28.384999999999945,23.55136363636364
2016-09-01,28.485909090909093,23.05397727272728,26.96909090909084,21.785454545454545
2016-10-01,27.419,22.090625,26.104499999999963,20.910500000000003
2016-11-01,27.16428571428572,21.098214285714285,25.658095238095235,19.884761904761906
2016-12-01,25.948500000000003,20.028125,24.647499999999983,18.955
2017-01-01,25.411818181818184,19.767045454545453,24.085454545454525,18.52363636363636
2017-02-01,24.96944444444445,20.0625,23.55333333333332,18.558333333333337
2017-03-01,24.26363636363636,19.5,22.8040909090909,18.12636363636364
2017-04-01,24.98888888888889,19.24652777777778,23.946666666666665,17.833333333333332
2017-05-01,25.52238095238096,19.633928571428573,24.471904761904767,18.12809523809524
2017-06-01,25.663809523809523,19.80952380952381,24.81904761904762,18.27428571428571
2017-07-01,26.289523809523807,20.160714285714285,25.12095238095237,18.44761904761905
2017-08-01,26.857727272727274,20.806818181818183,25.99863636363636,18.889545454545456
2017-09-01,27.35952380952381,21.32738095238096,26.40809523809524,19.36714285714285
2017-10-01,26.98529411764705,21.558823529411764,26.00238095238095,19.796666666666663
2017-11-01,29.2805,22.59375,27.9915,20.901
2017-12-01,31.19736842105264,23.27302631578948,29.096842105263164,21.746315789473684
2018-01-01,29.37727272727272,22.96590909090909,27.547272727272727,21.67363636363636
2018-02-01,28.694444444444443,22.78125,27.06611111111112,21.431666666666665
2018-03-01,27.89,22.8125,26.584000000000003,21.229000000000003
2018-04-01,28.09368421052632,22.81578947368421,26.94263157894737,21.42947368421053
2018-05-01,41.19761904761905,28.285714285714285,38.00476190476191,25.266666666666666
2018-06-01,43.234,30.565625,39.422,27.622000000000003
2018-07-01,50.88380952380952,34.520833333333336,47.207142857142856,32.13
2018-08-01,50.01136363636363,35.16761363636363,45.80772727272728,32.70545454545455
2018-09-01,67.7105,41.85625,60.463,38.67450000000001
2018-10-01,78.17318181818182,50.49147727272727,69.64863636363636,47.41772727272726
2018-11-01,72.15894736842105,51.36513157894737,63.66894736842105,48.31105263157895
2018-12-01,65.0261111111111,48.63541666666666,58.79944444444445,46.55111111111111
2019-01-01,61.15590909090909,45.8125,56.032272727272726,44.31727272727273
2019-02-01,51.9945,37.584375,45.7895,37.56000000000001
2019-03-01,61.43894736842106,41.67434210526316,54.98315789473685,39.61157894736842
2019-04-01,68.86105263157894,48.70723684210526,65.55736842105263,46.484736842105264
2019-05-01,73.28636363636366,52.58806818181818,70.265,50.46318181818182
2019-06-01,70.33722222222224,50.895833333333336,66.28666666666666,49.90444444444445
2019-07-01,62.591904761904765,48.625,58.45904761904761,47.45428571428571
2019-08-01,77.21809523809524,55.44345238095238,67.2747619047619,53.3747619047619
2019-09-01,85.46714285714286,59.95238095238095,70.05999999999999,58.10476190476191
2019-10-01,70.94,55.12215909090909,61.28409090909091,54.46409090909091
2019-11-01,64.04999999999998,45.98684210526316,54.77315789473683,45.39473684210526
2019-12-01,58.57736842105262,41.953947368421055,50.38736842105263,41.40684210526316
2020-01-01,50.5859090909091,36.15056818181818,39.73636363636364,35.20636363636363
2020-02-01,43.04555555555555,33.58680555555556,35.02388888888889,32.56777777777777
2020-03-01,38.58263157894738,29.56578947368421,30.21052631578948,28.50210526315789
2020-04-01,21.559500000000003,19.984375,8.616,21.183499999999995
2020-05-01,20.86631578947368,23.4375,14.27421052631579,23.51315789473684
2020-06-01,22.73904761904762,29.535714285714285,16.526190476190475,28.43142857142858
2020-07-01,21.45523809523809,29.53273809523809,16.258095238095237,28.34428571428572
2020-08-01,21.22600000000001,29.653125,15.8475,29.255499999999994
2020-09-01,20.705,29.744318181818183,15.485,29.33227272727273
2020-10-01,27.37428571428571,30.696428571428573,23.92428571428571,30.087619047619043
2020-11-01,32.295789473684216,32.94078947368421,27.891052631578944,32.18789473684211
2020-12-01,33.26777777777778,34.21527777777778,30.06055555555556,33.388888888888886
2021-01-01,34.699,34.121875,30.543,33.484
2021-02-01,34.91944444444445,34.10069444444444,30.773333333333337,33.45
2021-03-01,36.07545454545454,34.06818181818182,30.655909090909088,33.45454545454545
